open log file
Sat Dec 22 19:35:21.116, 2018

Function:DDraw_Init,Line:205, 32
Function:DDraw_Init,Line:253, DDrawInit Sucess
Function:DInput_Init,Line:265, DInput_Init Success
Function:DInput_Init_Keyboard,Line:322, DInput_Init_Keyboard Success
Function:Load_Bitmap_File,Line:50, bitcount:24
Function:Load_Bitmap_File,Line:93, 24 bit bitmap
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:0.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:67.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
Function:GameMain,Line:195, FPS:65.000000
